epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.942,1.29115,5.18619,1.08801,0.60005,0.58077,0.6239,0.39555,1.2691,2.60759,1.07036,0.000553616,0.000553616,0.000553616
2,271.179,1.35623,2.14986,1.14484,0.44115,0.47314,0.456,0.28165,1.41009,1.49857,1.17888,0.0010983,0.0010983,0.0010983
3,389.699,1.38982,1.21753,1.21253,0.78436,0.72861,0.78525,0.48992,1.22982,0.86476,1.12832,0.00163198,0.00163198,0.00163198
4,503.398,1.38429,0.9846,1.21484,0.76072,0.7394,0.80339,0.50489,1.27776,0.75958,1.19784,0.00161749,0.00161749,0.00161749
5,615.014,1.34091,0.83573,1.22012,0.69471,0.81637,0.803,0.54034,1.18432,0.74655,1.15567,0.00160099,0.00160099,0.00160099
6,733.652,1.31111,0.77634,1.19524,0.81772,0.82271,0.87365,0.57101,1.22055,0.61933,1.17103,0.00158448,0.00158448,0.00158448
7,850.221,1.3347,0.71368,1.22666,0.75687,0.81591,0.85353,0.54289,1.26021,0.66874,1.22679,0.00156798,0.00156798,0.00156798
8,969.007,1.32288,0.71193,1.20222,0.8199,0.84553,0.88277,0.56652,1.2434,0.61539,1.13799,0.00155148,0.00155148,0.00155148
9,1084.65,1.28497,0.67001,1.19593,0.8675,0.8481,0.90337,0.60044,1.19021,0.52717,1.14076,0.00153497,0.00153497,0.00153497
10,1200.79,1.29256,0.66338,1.20548,0.76906,0.91995,0.89185,0.56925,1.21173,0.62301,1.13801,0.00151847,0.00151847,0.00151847
11,1318.57,1.2538,0.62199,1.18729,0.80498,0.7913,0.82979,0.55241,1.15058,0.60978,1.12199,0.00150197,0.00150197,0.00150197
12,1438.64,1.26338,0.59013,1.18896,0.81755,0.90562,0.89516,0.61019,1.14568,0.54482,1.12164,0.00148546,0.00148546,0.00148546
13,1561.75,1.25039,0.59097,1.18927,0.86864,0.82934,0.87649,0.60634,1.11279,0.57161,1.10342,0.00146896,0.00146896,0.00146896
14,1679.27,1.25085,0.59904,1.18506,0.85781,0.87021,0.89042,0.61001,1.14625,0.49786,1.16051,0.00145246,0.00145246,0.00145246
15,1799.34,1.23419,0.55299,1.17894,0.84086,0.86042,0.88806,0.61964,1.10561,0.49769,1.10797,0.00143595,0.00143595,0.00143595
16,1910.03,1.23041,0.54283,1.15794,0.81959,0.85055,0.89305,0.60833,1.14281,0.55716,1.12092,0.00141945,0.00141945,0.00141945
17,2019.18,1.23161,0.53994,1.17098,0.86564,0.93783,0.90636,0.62315,1.14141,0.46387,1.11564,0.00140295,0.00140295,0.00140295
18,2127.9,1.22006,0.53186,1.17309,0.83672,0.89697,0.90913,0.63513,1.11943,0.46143,1.15932,0.00138644,0.00138644,0.00138644
19,2242.59,1.20684,0.50879,1.177,0.84126,0.88312,0.90562,0.63306,1.09952,0.53345,1.13687,0.00136994,0.00136994,0.00136994
20,2355.13,1.21129,0.5083,1.16809,0.83078,0.921,0.88793,0.61713,1.11806,0.47357,1.11488,0.00135344,0.00135344,0.00135344
21,2472.77,1.21253,0.52041,1.1767,0.86095,0.89339,0.90274,0.61774,1.15476,0.44794,1.15047,0.00133693,0.00133693,0.00133693
22,2585.29,1.20765,0.51219,1.17138,0.85767,0.93331,0.91896,0.64707,1.09346,0.44832,1.09215,0.00132043,0.00132043,0.00132043
23,2703.76,1.20005,0.48777,1.15548,0.85468,0.90685,0.91165,0.62329,1.1251,0.48969,1.1015,0.00130393,0.00130393,0.00130393
24,2821.15,1.19256,0.47735,1.16713,0.87321,0.86786,0.90376,0.63179,1.08108,0.48729,1.10541,0.00128742,0.00128742,0.00128742
25,2937.01,1.1878,0.50785,1.16303,0.85408,0.85024,0.89114,0.62196,1.1244,0.48818,1.13945,0.00127092,0.00127092,0.00127092
26,3055.3,1.17745,0.47082,1.14813,0.85972,0.92811,0.9179,0.60984,1.17801,0.47239,1.14799,0.00125442,0.00125442,0.00125442
27,3172.92,1.18407,0.4845,1.16428,0.87872,0.91543,0.9292,0.65537,1.11117,0.44437,1.14675,0.00123791,0.00123791,0.00123791
28,3292.19,1.16721,0.47051,1.15822,0.85111,0.92005,0.90806,0.64144,1.11514,0.43144,1.09849,0.00122141,0.00122141,0.00122141
29,3413.21,1.1686,0.48028,1.16633,0.87254,0.90382,0.90216,0.62911,1.09594,0.46317,1.13485,0.00120491,0.00120491,0.00120491
30,3525.4,1.17024,0.46728,1.15127,0.86969,0.92242,0.89801,0.628,1.08493,0.43216,1.1227,0.0011884,0.0011884,0.0011884
31,3639.84,1.15931,0.4553,1.13984,0.8622,0.94339,0.90568,0.6398,1.08799,0.40912,1.11817,0.0011719,0.0011719,0.0011719
32,3754.22,1.16595,0.45418,1.15579,0.84925,0.96168,0.91675,0.6406,1.09259,0.4362,1.12314,0.0011554,0.0011554,0.0011554
33,3871.68,1.15588,0.45125,1.1494,0.83594,0.94307,0.92481,0.65358,1.09123,0.40976,1.11835,0.00113889,0.00113889,0.00113889
34,3984.55,1.14497,0.43717,1.13542,0.83859,0.94193,0.91346,0.64751,1.08459,0.41333,1.10258,0.00112239,0.00112239,0.00112239
35,4098.56,1.1456,0.43795,1.12535,0.83862,0.93049,0.90353,0.64582,1.07587,0.4211,1.11878,0.00110589,0.00110589,0.00110589
36,4217.39,1.14048,0.44012,1.13767,0.85463,0.92694,0.9093,0.64645,1.08898,0.43778,1.11252,0.00108938,0.00108938,0.00108938
37,4334.62,1.14164,0.44716,1.13478,0.85624,0.93685,0.92957,0.65532,1.08681,0.41632,1.13155,0.00107288,0.00107288,0.00107288
